"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.698675649,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.200771191,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.376161239,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.35264844,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.75456293,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.962042894,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.920208648,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.569847791,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.93789944,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.705934496,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.477069882,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.112302921,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.048426273,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.46033354,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.909745764,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.678544188,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425168374,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.902359613,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.283047442,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.272134568,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.212860309,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.83115508,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.774986589,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.864379412,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895287567,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.610473842,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.602953001,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.864733493,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.219515888,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463320302,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.252116722,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.48903104,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.021808444,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.534732258,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.188321944,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.664436513,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.882721815,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.275235646,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.114401934,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.346826519,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.641281008,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.08077713,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.358115845,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.878926426,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.161030521,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.715099377,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.442857585,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.403067661,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.11313258,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.094322051,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.39444505,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.599126035,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.125053552,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.547368008,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.89292216,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.62000593,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.370332036,
"OECD","QGDP","TOT","PC_CHGPP","A","2019",1.718674917,
"OECD","QGDP","TOT","PC_CHGPP","A","2020",-4.605275444,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.943015787,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.050014117,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.339832053,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.425026894,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.087636986,
